City_ID,City,Lat,Lng,Max_temp,Humidity,Clouds,Wind,Country,Date
160,ostersund,63.18,14.64,73.4,43,31,17.22,SE,1593359474
161,talnakh,69.49,88.4,75.2,47,30,15.66,RU,1593359475
162,atambua,-9.11,124.89,70.38,89,41,5.39,ID,1593359475
163,dhidhdhoo,6.88,73.1,83.3,80,71,16.53,MV,1593359475
164,esperance,-33.87,121.9,57.2,93,90,17.22,AU,1593359475
165,cabo san lucas,22.89,-109.91,82.99,61,90,1.99,MX,1593359402
166,calama,-22.47,-68.93,64.4,8,74,5.82,CL,1593359475
167,tombouctou,20.0,-3.0,113.79,6,25,4.65,ML,1593359475
168,batticaloa,7.71,81.69,84.56,76,91,4.83,LK,1593359475
169,hiliseu-horia,48.03,26.25,81.0,61,20,12.75,RO,1593359252
170,guerrero negro,27.98,-114.06,71.29,65,0,5.39,MX,1593359475
171,kargil,34.57,76.1,48.94,62,79,6.78,IN,1593359476
172,buritama,-21.07,-50.15,74.77,56,27,8.12,BR,1593359476
173,ust-tsilma,65.44,52.15,47.37,76,100,4.88,RU,1593359476
174,santa maria,-29.68,-53.81,53.6,81,20,9.17,BR,1593359476
175,tuatapere,-46.13,167.68,45.0,83,97,5.41,NZ,1593359476
176,puerto madryn,-42.77,-65.04,42.04,62,100,5.41,AR,1593359210
177,ribeira grande,38.52,-28.7,71.6,88,75,17.22,PT,1593359476
178,erie,42.77,-78.67,75.99,78,20,13.87,US,1593359476
179,pontianak,-0.03,109.33,76.01,83,39,2.71,ID,1593359476
180,lazaro cardenas,17.96,-102.2,87.89,53,63,2.24,MX,1593359476
181,mjolby,58.33,15.12,77.0,73,100,8.05,SE,1593359477
182,orotukan,62.27,151.7,54.84,62,100,2.04,RU,1593359477
183,mount gambier,-37.83,140.77,42.8,87,27,6.93,AU,1593359477
184,jamestown,42.1,-79.24,71.6,64,20,11.41,US,1593359477
185,leningradskiy,69.38,178.42,29.01,98,96,4.74,RU,1593359477
186,burnie,-41.07,145.92,43.0,92,14,3.0,AU,1593359477
187,ocos,14.51,-92.19,84.2,78,75,8.05,GT,1593359477
188,amapa,1.0,-52.0,85.96,63,93,4.85,BR,1593359478
189,bathsheba,13.22,-59.52,87.8,70,40,13.87,BB,1593359478
190,parrita,9.52,-84.32,77.0,61,51,8.05,CR,1593359478
191,taiping,4.85,100.73,82.4,88,20,2.24,MY,1593359238
192,kamogata,34.53,133.58,68.0,94,0,3.47,JP,1593359478
193,coari,-4.08,-63.14,87.62,60,28,2.89,BR,1593359372
194,zemio,5.03,25.14,78.39,81,22,4.12,CF,1593359478
195,russellville,35.28,-93.13,84.2,66,75,10.29,US,1593359429
196,qeshm,26.96,56.27,95.0,67,0,11.41,IR,1593359479
197,beira,-19.84,34.84,75.2,88,20,8.05,MZ,1593359479
198,ust-nera,64.57,143.2,61.66,55,11,1.77,RU,1593359479
199,balkhash,46.84,74.98,64.67,47,1,11.43,KZ,1593359479
200,vestmanna,62.16,-7.17,59.0,82,97,18.34,FO,1593359479
201,yaan,7.38,8.57,76.62,88,100,7.65,NG,1593359479
202,bakuriani,41.75,43.53,56.35,90,43,3.18,GE,1593359479
203,micheweni,-4.97,39.83,76.98,87,2,10.25,TZ,1593359479
204,chokurdakh,70.63,147.92,53.38,59,100,10.83,RU,1593359479
205,la ronge,55.1,-105.28,64.4,82,75,4.7,CA,1593359480
206,riyadh,24.69,46.72,109.4,7,76,6.93,SA,1593359208
207,chapais,49.78,-74.85,73.4,60,40,6.93,CA,1593359480
208,bien hoa,10.95,106.82,77.0,100,75,5.82,VN,1593359480
209,manoharpur,27.3,75.95,98.6,35,20,5.82,IN,1593359480
210,salinas,36.68,-121.66,60.8,72,90,10.29,US,1593359480
211,norman wells,65.28,-126.83,57.2,62,20,6.93,CA,1593359480
212,nadym,65.53,72.52,51.26,81,100,14.5,RU,1593359480
213,torbay,47.67,-52.73,68.0,87,90,9.17,CA,1593359481
214,djambala,-2.54,14.75,85.51,37,7,4.88,CG,1593359481
215,tessalit,20.2,1.01,109.87,7,23,10.78,ML,1593359481
216,henties bay,-22.12,14.28,63.0,71,0,5.01,NA,1593359481
217,tautira,-17.73,-149.15,69.8,83,19,4.7,PF,1593359481
218,mahibadhoo,3.78,72.97,83.93,77,4,13.73,MV,1593359481
219,zomba,-15.39,35.32,70.74,49,72,3.96,MW,1593359481
220,gao,16.64,1.64,106.79,11,41,9.71,ML,1593359481
221,sambava,-14.27,50.17,74.52,87,4,13.85,MG,1593359481
222,san luis,-33.3,-66.34,54.93,40,22,10.56,AR,1593359387
223,logrono,42.47,-2.45,87.8,35,32,5.82,ES,1593359482
